timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
401602223,401602195,0.3298388,4.2806205e-06,-0.22033703,6.457253,0.00083538116,6.4202843,1
401699466,401699438,0.32982397,4.27102e-06,0.5663396,6.555997,0.0054359147,6.5267406,1
401799928,401799900,0.32994524,4.2638617e-06,-2.6401138,6.507922,0.11900369,6.5019965,1
401902093,401902016,0.32971036,4.2573415e-06,2.9729009,6.627202,0.1481795,6.6365557,1
402001319,402001291,0.32979923,4.2487354e-06,-1.9897507,6.6565723,0.0660852,6.6383653,1
402100127,402100099,0.32993695,4.237441e-06,-2.717388,6.8101273,0.12047739,6.804747,1
402199060,402199033,0.32985458,4.227397e-06,2.5862498,7.2662144,0.10227989,7.261614,1
402302555,402302524,0.32987532,4.219031e-06,0.3589558,7.253276,0.0019738097,7.2024884,1
402402910,402402882,0.32993644,4.209403e-06,-0.47358984,7.214619,0.0034542107,7.1732726,1
402500088,402500060,0.32993555,4.1981716e-06,1.3349435,7.558152,0.02619797,7.5293922,1
402600270,402600242,0.33002165,4.1863486e-06,-3.015913,7.6366577,0.13234021,7.63555,1
402698285,402698254,0.33004615,4.1760804e-06,2.4082973,8.108847,0.07947281,8.097327,1
402803189,402803156,0.33016863,4.170659e-06,2.431617,8.393793,0.07826896,8.37784,1
402900499,402900471,0.33013013,4.1648473e-06,-4.74154,8.2785015,0.30174813,8.333839,1
402999112,402999084,0.33008376,4.1614067e-06,3.1402278,8.534384,0.12838303,8.539795,1
403102569,403102538,0.33009812,4.159575e-06,-5.8450384,8.798332,0.4314514,8.950893,1
403202975,403202947,0.3300111,4.159958e-06,1.1623075,9.523009,0.01576251,9.479334,1
403300862,403300832,0.3300379,4.1579656e-06,2.7443385,9.576624,0.08738169,9.56571,1
403400972,403400945,0.330181,4.1532858e-06,-4.117408,9.523662,0.19778863,9.551182,1
403498497,403498413,0.33004707,4.149352e-06,2.6986604,9.427342,0.08583505,9.415852,1
403602244,403602214,0.32995006,4.147665e-06,0.86346567,9.27874,0.008928092,9.216863,1
403700623,403700595,0.3298876,4.1447374e-06,2.044077,9.114518,0.050935227,9.077518,1
403799549,403799521,0.33001125,4.1412954e-06,-0.7703358,8.786506,0.007504149,8.748235,1
403898950,403898922,0.3300097,4.137184e-06,-0.35729492,8.477607,0.0016731616,8.434765,1
404003833,404003799,0.3299573,4.1351855e-06,3.2998137,8.317794,0.14545485,8.328014,1
404101244,404101216,0.32983285,4.1337476e-06,-0.37131715,8.530266,0.0017959115,8.488518,1
404200145,404200117,0.32991174,4.131205e-06,-8.037141,8.7020035,0.82478625,8.952755,1
404303216,404303188,0.32973775,4.1278317e-06,6.3857636,9.570155,0.4734392,9.7536335,1
404403589,404403561,0.32976484,4.1261596e-06,-4.676131,9.766691,0.2487616,9.83306,1
404501445,404501417,0.32962185,4.124689e-06,3.8359551,9.855032,0.16590004,9.866618,1
404600379,404600345,0.32961288,4.123375e-06,-0.3403247,9.752072,0.0013196158,9.705595,1
404699920,404699892,0.32960546,4.1221e-06,-3.6402416,9.811137,0.15007162,9.830188,1
404797888,404797857,0.32960722,4.1200524e-06,4.9598746,10.040501,0.27223474,10.092621,1
404901490,404901413,0.3295999,4.119394e-06,-4.333383,10.11239,0.20632787,10.174348,1
405000247,405000216,0.32954666,4.1161456e-06,-0.011636674,10.107646,1.4885562e-06,10.060804,1
405099154,405099124,0.3296653,4.1117723e-06,-1.5451051,9.704476,0.027333891,9.6693735,1
405198687,405198659,0.3296473,4.1077237e-06,5.699796,9.42208,0.3831152,9.522294,1
405302026,405301998,0.32957727,4.106666e-06,-4.932225,9.372977,0.28838038,9.4790325,1
405400736,405400705,0.3295414,4.1043195e-06,1.4934559,9.169465,0.02702703,9.132861,1
405504094,405503980,0.32955238,4.102475e-06,0.54193425,8.792293,0.0037114925,8.732522,1
405598426,405598398,0.32961836,4.0971963e-06,-5.140158,8.503518,0.34523264,8.578436,1
405697277,405697246,0.3296402,4.0932655e-06,1.2138637,8.622543,0.018987246,8.586714,1
405802051,405802020,0.329568,4.0906352e-06,3.2920744,8.279986,0.14543441,8.287298,1
405900017,405899989,0.32964095,4.08408e-06,-2.8164668,8.129465,0.10841885,8.124726,1
406004350,406004322,0.329562,4.076698e-06,1.219507,8.296132,0.019918215,8.258816,1
406101938,406101910,0.32945713,4.0705477e-06,0.9659351,8.022216,0.012922873,7.988244,1
406202481,406202453,0.32932952,4.068007e-06,4.5105257,7.8235087,0.28894174,7.876609,1
406299866,406299784,0.32924002,4.067395e-06,0.8779458,8.410205,0.010183248,8.373387,1
406398833,406398805,0.3293538,4.0652762e-06,-0.11120258,8.257073,0.00016640298,8.21759,1
406498061,406498033,0.3294636,4.0585273e-06,-1.4490076,7.965091,0.02928924,7.9357796,1
406602129,406602101,0.32942948,4.049207e-06,3.7810144,7.7714396,0.20439614,7.8101997,1
406700409,406700379,0.3293367,4.039748e-06,1.9918699,7.7575283,0.056827173,7.733889,1
