timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
386472830,2162698,2162698,1114122,0,0,0.16956213,0.16956209,0.0,0.0,2162698,2162698,2228234,0,0,0.0036526779,0.003652678,0.0,0.0,1,1,0,0,1,1,0,0
386670813,2162698,2162698,1114122,0,0,0.117557265,0.11755717,0.0,0.0,2162698,2162698,2228234,0,0,0.0029568342,0.0029568342,0.0,0.0,1,1,0,0,1,1,0,0
386873016,2162698,2162698,1114122,0,0,0.07104358,0.07104359,0.0,0.0,2162698,2162698,2228234,0,0,0.0035654956,0.003565496,0.0,0.0,1,1,0,0,1,1,0,0
387070870,2162698,2162698,1114122,0,0,0.083554275,0.083554365,0.0,0.0,2162698,2162698,2228234,0,0,0.0022817208,0.0022817208,0.0,0.0,1,1,0,0,1,1,0,0
387268805,2162698,2162698,1114122,0,0,0.13820669,0.13820677,0.0,0.0,2162698,2162698,2228234,0,0,0.0043718023,0.004371803,0.0,0.0,1,1,0,0,1,1,0,0
387471173,2162698,2162698,1114122,0,0,0.1463563,0.1463563,0.0,0.0,2162698,2162698,2228234,0,0,0.0020721336,0.0020721334,0.0,0.0,1,1,0,0,1,1,0,0
387668961,2162698,2162698,1114122,0,0,0.11848363,0.11848366,0.0,0.0,2162698,2162698,2228234,0,0,0.0039040234,0.0039040232,0.0,0.0,1,1,0,0,1,1,0,0
387871333,2162698,2162698,1114122,0,0,0.3093264,0.30932635,0.0,0.0,2162698,2162698,2228234,0,0,0.0034477771,0.003447777,0.0,0.0,1,1,0,0,1,1,0,0
388073673,2162698,2162698,1114122,0,0,0.2731511,0.27315077,0.0,0.0,2162698,2162698,2228234,0,0,0.0025493558,0.0025493556,0.0,0.0,1,1,0,0,1,1,0,0
388271619,2162698,2162698,1114122,0,0,0.12875617,0.12875621,0.0,0.0,2162698,2162698,2228234,0,0,0.0011141135,0.0011141137,0.0,0.0,1,1,0,0,1,1,0,0
388469358,2162698,2162698,1114122,0,0,0.090051144,0.09005116,0.0,0.0,2162698,2162698,2228234,0,0,0.003908313,0.0039083133,0.0,0.0,1,1,0,0,1,1,0,0
388671740,2162698,2162698,1114122,0,0,0.11508268,0.115082785,0.0,0.0,2162698,2162698,2228234,0,0,0.002750898,0.0027508982,0.0,0.0,1,1,0,0,1,1,0,0
388869730,2162698,2162698,1114122,0,0,0.17617308,0.17617327,0.0,0.0,2162698,2162698,2228234,0,0,0.004962536,0.004962535,0.0,0.0,1,1,0,0,1,1,0,0
389071987,2162698,2162698,1114122,0,0,0.16053192,0.16053198,0.0,0.0,2162698,2162698,2228234,0,0,0.0033446809,0.0033446809,0.0,0.0,1,1,0,0,1,1,0,0
389274343,2162698,2162698,1114122,0,0,0.17271097,0.17271098,0.0,0.0,2162698,2162698,2228234,0,0,0.0022165922,0.002216593,0.0,0.0,1,1,0,0,1,1,0,0
389472137,2162698,2162698,1114122,0,0,0.14228578,0.1422858,0.0,0.0,2162698,2162698,2228234,0,0,0.0025975206,0.0025975208,0.0,0.0,1,1,0,0,1,1,0,0
389670065,2162698,2162698,1114122,0,0,0.12229382,0.122293904,0.0,0.0,2162698,2162698,2228234,0,0,0.0036569822,0.003656982,0.0,0.0,1,1,0,0,1,1,0,0
389872324,2162698,2162698,1114122,0,0,0.09378756,0.09378757,0.0,0.0,2162698,2162698,2228234,0,0,0.0040046005,0.004004601,0.0,0.0,1,1,0,0,1,1,0,0
390070279,2162698,2162698,1114122,0,0,0.034657992,0.034658033,0.0,0.0,2162698,2162698,2228234,0,0,0.003561984,0.003561984,0.0,0.0,1,1,0,0,1,1,0,0
390268065,2162698,2162698,1114122,0,0,0.1294523,0.12945221,0.0,0.0,2162698,2162698,2228234,0,0,0.0034547485,0.0034547485,0.0,0.0,1,1,0,0,1,1,0,0
