timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
403195491,0,0.0,-0.0,0.0,0.14698794,0.0,0.0,0.0,0.0
403285972,0,0.0,-0.0,0.0,0.15301205,0.0,0.0,0.0,0.0
403370817,0,0.0,-0.0,0.0,0.15301205,0.0,0.0,0.0,0.0
403675252,0,0.0,-0.0,0.0,0.15301205,0.0,0.0,0.0,0.0
403890722,0,0.0,-0.0,0.0,0.15180723,0.0,0.0,0.0,0.0
403910368,0,0.0,-0.0,0.0,0.13614458,0.0,0.0,0.0,0.0
403976569,0,0.0,-0.0,0.0,0.110843375,0.0,0.0,0.0,0.0
404084862,0,0.0,-0.0,0.0,0.13012049,0.0,0.0,0.0,0.0
404129386,0,0.0,-0.0,0.0,0.13373494,0.0,0.0,0.0,0.0
404435357,0,0.0,-0.0,0.0,0.13373494,0.0,0.0,0.0,0.0
404692840,0,0.0,-0.0,0.0,0.13614458,0.0,0.0,0.0,0.0
404736371,0,0.0,-0.0,0.0,0.1373494,0.0,0.0,0.0,0.0
404781301,0,0.0,-0.0,0.0,0.14337349,0.0,0.0,0.0,0.0
404885725,0,0.0,-0.0,0.0,0.16144578,0.0,0.0,0.0,0.0
404988340,0,0.0,-0.0,0.0,0.18915662,0.0,0.0,0.0,0.0
405094919,0,0.0,-0.0,0.0,0.20481928,0.0,0.0,0.0,0.0
405115568,0,0.0,-0.0,0.0,0.2060241,0.0,0.0,0.0,0.0
405415669,0,0.0,-0.0,0.0,0.2060241,0.0,0.0,0.0,0.0
405446417,0,0.0,-0.0,0.004878049,0.2060241,0.0,0.0,0.0,0.0
405478440,0,0.0,-0.0,0.014634146,0.2060241,0.0,0.0,0.0,0.0
405585209,0,0.0,-0.0,0.0,0.2060241,0.0,0.0,0.0,0.0
405712511,0,0.0,-0.0,0.0024390244,0.20240964,0.0,0.0,0.0,0.0
405818888,0,0.0,-0.0,0.0,0.20963855,0.0,0.0,0.0,0.0
405905660,0,0.0,-0.0,0.0,0.26987952,0.0,0.0,0.0,0.0
406010351,0,0.0,-0.0,0.0,0.17710844,0.0,0.0,0.0,0.0
406096017,0,0.0,-0.0,0.0,0.15783133,0.0,0.0,0.0,0.0
406334338,0,0.0,-0.0,0.0,0.16024096,0.0,0.0,0.0,0.0
406355409,0,0.0,-0.0,0.0,0.16626506,0.0,0.0,0.0,0.0
406418669,0,0.0,-0.0,0.0,0.21927711,0.0,0.0,0.0,0.0
406505226,0,0.0,-0.0,0.0,0.25662652,0.0,0.0,0.0,0.0
406634211,0,0.0,-0.0,0.0,0.21686748,0.0,0.0,0.0,0.0
406721266,0,0.0,-0.0,0.0,0.17228916,0.0,0.0,0.0,0.0
