timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,current_average_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,average_power,available_energy,remaining_capacity,design_capacity,nominal_voltage,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,average_time_to_full,over_discharge_count,connected,source,priority,id,is_powering_off,warning
401670578,22.71154,22.640152,0.0,3.5e-44,-1.0,0.000497488,0.533464,1.0843117,nan,6,3.7733586,3.7733586,3.7733586,3.7733586,3.7733586,3.7733586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
401871490,22.851175,22.659006,0.0,3.5e-44,-1.0,0.000497488,0.5356203,1.0838894,nan,6,3.776501,3.776501,3.776501,3.776501,3.776501,3.776501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
402070734,22.662256,22.662268,0.0,3.5e-44,-1.0,0.000497488,0.5357786,1.0838584,nan,6,3.7770445,3.7770445,3.7770445,3.7770445,3.7770445,3.7770445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
402271767,22.497978,22.651407,0.0,3.5e-44,-1.0,0.000497488,0.53397375,1.0842118,nan,6,3.7752345,3.7752345,3.7752345,3.7752345,3.7752345,3.7752345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
402470554,22.506191,22.643139,0.0,3.5e-44,-1.0,0.000497488,0.5330573,1.0843914,nan,6,3.7738564,3.7738564,3.7738564,3.7738564,3.7738564,3.7738564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
402671348,22.497978,22.621489,0.0,3.5e-44,-1.0,0.000497488,0.53016526,1.0849584,nan,6,3.7702482,3.7702482,3.7702482,3.7702482,3.7702482,3.7702482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
402870666,22.662256,22.627237,0.0,3.5e-44,-1.0,0.000497488,0.5321327,1.0845727,nan,6,3.7712061,3.7712061,3.7712061,3.7712061,3.7712061,3.7712061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
403072065,22.79368,22.638262,0.0,3.5e-44,-1.0,0.000497488,0.5332766,1.0843484,nan,6,3.7730436,3.7730436,3.7730436,3.7730436,3.7730436,3.7730436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
403270685,22.432266,22.66765,0.0,3.5e-44,-1.0,0.000497488,0.5378881,1.0834454,nan,6,3.7779417,3.7779417,3.7779417,3.7779417,3.7779417,3.7779417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
403472547,22.645828,22.642015,0.0,3.5e-44,-1.0,0.000497488,0.5328956,1.0844231,nan,6,3.7736692,3.7736692,3.7736692,3.7736692,3.7736692,3.7736692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
